id,类型,npcid,文本1,非双选按钮文本导向,选项1文本,选项2文本,按钮1通往id,按钮2通往id,好感度奖励,音乐播放,npc配音
24,2,11,不，我着急去厕所！,0,还以为你摸裆是在舞蹈练习呢...,null,25,0,null,0,null
25,4,11,大部分情况下是因为裤子太紧了...,0,真是尴尬~,null,0,0,null,0,null
26,2,12,我准备用肉来编织新的裙子,0,除了味儿大以外没别的毛病！,null,27,0,null,0,null
27,4,12,那我就当你同意了！,0,不准进我的厨房！,null,0,0,null,0,null
28,2,13,我和时间老人做了一笔生意~,0,他决定继续让你永葆青春？,null,29,0,null,0,null
29,4,13,当然，而且我只和他签了一份老将底薪合同。,0,天生的生意人！,null,0,0,null,0,null
30,2,14,你为什么不准我抽烟！,,抽烟去室外！,null,31,0,null,0,null
31,4,14,我这是电子烟！,,什么烟都不行!,null,0,0,null,0,null
32,2,15,你觉得派对最大的难点是什么？,,我不知道...,null,33,0,null,0,null
33,4,15,酒精是不长眼的，音乐是要手动切的，游泳池是要放水的！,,呃，说点大家不知道的...,null,0,0,null,0,null
34,2,16,昨天我被恶魔附身了！,0,什么鬼胆子那么大！,null,35,0,null,0,null
35,4,16,但它重量太低了，还不够我做硬拉。,0,你应该去兼职做驱魔师...,null,0,0,null,0,null
36,2,17,你知道我为什么要随身带着道具枪吗？,0,有人觊觎你的美貌？,null,37,0,null,0,null
37,4,17,这样我不用说话也能让孩子们写作业。,0,硬核教育家！,null,0,0,null,0,null
38,2,18,我们活在虚拟世界，美梦转瞬即逝。,0,强尼，你怎么不留在夜之城？,null,39,0,null,0,null
39,4,18,夜之城太寡淡了，不如你这里最烈的酒。,0,我会让你醉倒！,null,0,0,null,0,null
40,2,19,你这个地方太适合拍电影了！,0,为什么！,null,41,0,null,0,null
41,4,19,混乱的派对与血腥的枪战是绝配！,0,你别把我客人吓跑了！,null,0,0,null,0,null
42,2,20,我本是辅助，今晚来打野！,0,你喝迷糊了？,null,43,0,null,0,null
43,4,20,如何呢？又能怎！,0,真是奔放的表达...,null,0,0,null,0,null
44,2,21,能不能动作快点？,0,别急，马上就好,null,45,0,null,0,null
45,4,21,全世界为我都等了你一分钟，这是一种犯罪！,0,心急吃不了热豆腐！,null,0,0,null,0,null
46,2,22,他们都叫我狗爷。M3~,0,但你看上去很年轻啊？,null,47,0,null,0,null
47,2,22,从你出生到现在，我就没下过榜单。M3~,0,尊嘟假嘟？,null,48,0,null,0,null
48,4,22,For sure bro! 你妈当年放的胎教曲里都有我。,0,Damn!,null,0,0,null,0,null
49,2,42,不喜欢酒精，水才是我的饮品。,0,这样也太无趣了！,null,50,0,null,0,null
50,4,42,沉迷酒水只会让人虚度光阴！,0,但人生苦短，何不对酒当歌？,null,0,0,null,0,null
51,2,43,这个派对实在是太短暂了！,0,但我们已经狂欢了好几个钟头了呀？,null,52,0,null,0,null
52,4,43,时间是相对的，美好总是短暂！,0,就像工作的时间永远漫长！,null,0,0,null,0,null
53,2,44,为了帝国干杯！,0,帝国允许你们来参加派对？,null,54,0,null,0,null
54,4,44,呃，好吧为了我还活着干杯！,0,你还真是现实主义~,null,0,0,null,0,null
55,2,45,你应该去当个律师或者医生，而不是在这里虚度时间！,0,嘿！那你为什么在这?,null,56,0,null,0,null
56,4,45,我只是在这里寻找万中无一的武林高手！,0,"我觉得你只能找到""舞林高手""！",null,0,0,null,0,null
57,2,46,啊啊啊啊啊！,0,老先生你怎么了！,null,58,0,null,0,null
58,4,46,我要喝手磨咖啡！！！,0,您吓我一跳！,null,0,0,null,0,null
59,2,47,你这里服务费怎么收？,0,二十一位！,null,60,0,null,0,null
60,4,47,我看你是真的想和我拼一下子！,0,开个玩笑！免费，免费！,null,0,0,null,0,null
61,2,48,我今天要穿迷你裙还是吊带袜？,0,老人家您不要说笑~,null,62,0,null,0,null
62,4,48,你们这些年轻人真是不懂欣赏！,0,您开心就好！,null,0,0,null,0,null
63,2,49,成功返回坐标！,0,哇！大块头，什么风把你吹来了!,null,64,0,null,0,null
64,4,49,来参加天网毁灭人类前最好的派对！,0,等等，难道你失败了吗？,null,0,0,null,0,null
65,2,50,我今天美吗？,0,衣服不太合身...,null,66,0,null,0,null
66,4,50,因为这是品如的衣服~,0,你好烧啊！,null,0,0,null,0,null
