id,类型,类型id（类型为1时填入npcid）,文本1,非双选按钮文本导向,选项1文本,选项2文本,按钮1通往id,按钮2通往id,道具奖励,好感度奖励
38,1,2,也带了无数的名望与财富，这才有这座规模庞大的老宅。,0,我从来不知道这些,null,39,0,null,null
39,2,0,我从来不知道这些...,40,null,null,0,0,null,null
40,1,2,后来他的派对过时了，没有人永远年轻，派对也一样。,0,表达对未来的自信,表达对过去的惋惜,41,51,null,null
41,2,0,但我们不一样！,42,null,null,0,0,null,null
42,6,2,是的，这是我们的优势。,43,null,null,0,0,null,null
43,6,2,你爷爷做了很多尝试想要挽回一切，但最后还是失败了...,44,null,null,0,0,null,null
44,1,2,最后染上了酗酒，最后变成现在的样子...,0,感谢她的故事,null,45,0,null,null
45,2,0,谢谢你告诉我这些。,46,null,null,0,0,null,null
46,6,2,好了，我们继续计划，说不定你也是下一个派对之王！,47,null,null,0,0,null,null
47,1,2,晚安Toby！,0,晚安Nina,null,48,0,null,null
48,11,0,晚安Nina！,0,null,null,0,0,null,2#40
49,2,0,那是当然！,50,null,null,0,0,null,null
50,6,2,不愧是家族传承~,34,null,null,0,0,null,null
51,2,0,但有些经典永不过时。,52,null,null,0,0,null,null
52,6,2,你可真是乐观主义者~,43,null,null,0,0,null,null
53,1,3,我听Nina说你是这里的本地人。想请你帮忙找一些本地的查普汀，活的。,0,那是什么东西？？？,null,54,0,null,null
54,2,0,那是什么东西？？？,55,null,null,0,0,null,null
55,1,3,呃，英语应该是草蜢？,0,询问动机,null,56,0,null,null
56,2,0,我知道附近的农场有一些，不过你要用来干啥？,57,null,null,0,0,null,null
57,1,3,调酒，要未交配的雄性，体长必须大于2cm。,0,表示怀疑,答应帮忙,58,62,null,null
58,2,0,你确定是用来调酒而不是做什么...奇怪的药物？,59,null,null,0,0,null,null
59,6,3,可能有点那方面的功效，你需要来点儿？,63,null,null,0,0,null,null
60,1,3,事成之后还能给你尝尝。好了，我先去忙了。,0,bye,null,61,0,null,null
61,11,0,bye,0,null,null,0,0,null,3#40
62,2,0,你需要多少...查普汀？,63,null,null,0,0,null,null
63,6,3,53只，放心，不会让你白帮忙的。,60,null,null,0,0,null,null
64,6,4,终于轮到我了吗？,65,null,null,0,0,null,null
65,1,4,刚刚在和哪个美人聊天呢？,0,实话实说,调情,66,76,null,null
66,2,0,在修理唱片机...,67,null,null,0,0,null,null
67,6,4,哇偶，还真是多才多艺呢~,68,null,null,0,0,null,null
68,1,4,我叫Zaza，是本岛最优秀的导游~,0,我叫Toby，是本地人,null,69,0,null,null
69,2,0,Toby，本地人。,70,null,null,0,0,null,null
70,1,4,我从来没见过你，还打算带你逛逛呢~,0,刚从城里回来,null,71,0,null,null
71,2,0,我刚从城里回来。,72,null,null,0,0,null,null
72,1,4,岛上变了很多，有空了姐姐给你介绍介绍~,0,那太好了,null,73,0,null,null
73,2,0,那太好了！,74,null,null,0,0,null,null
74,6,4,具体什么时候就看你表现了~,75,null,null,0,0,null,null
75,8,4,期待你的下一次派对！,0,null,null,0,0,null,4#40
76,2,0,一直在等你~,77,null,null,0,0,null,null
77,6,4,油嘴滑舌的小坏蛋！,68,null,null,0,0,null,null
78,1,5,你好！我叫Ah Hu！,0,自我介绍,null,79,0,null,null
79,2,0,Toby,80,null,null,0,0,null,null
80,1,5,派对地址是你的收件地址吗？,0,询问动机,null,81,0,null,null
81,2,0,是的，为什么这样问？,82,null,null,0,0,null,null
82,6,5,我给你准备了一份礼物，今晚的收获~,83,null,null,0,0,null,null
83,10,5,talk2,84,null,null,0,0,null,null
84,1,5,它真漂亮，不是吗？,0,婉拒礼物,接受心意,85,90,null,null
85,2,0,这太贵重了我不能拿！,86,null,null,0,0,null,null
86,6,5,这是我的心意，如果你愿意尝试和我做朋友~,87,null,null,0,0,null,null
87,1,5,好了，我该上岸了！,0,你居然在海里和我聊天吗？？？,null,89,0,null,null
88,2,0,你居然在海里和我聊天吗？？？,89,null,null,0,0,null,null
89,8,5,当然，回见！,0,null,null,0,0,null,5#40
90,2,0,我也在考虑给你准备什么礼物！,91,null,null,0,0,null,null
91,6,5,哈哈！我很期待！,87,null,null,0,0,null,null
92,6,1,我从叔叔那里借来了抽水机！,93,null,null,0,0,null,null
93,1,1,这样我们就可以从海里抽水而不需要支付自来水费~,0,那我明天就去打扫水池,null,94,0,null,null
94,2,0,那我明天就去打扫水池！,95,null,null,0,0,null,null
95,6,1,我忍不住开始幻想我们的泳池派对了~,96,null,null,0,0,null,null
96,1,1,有点急事，先下了！,0,注意身体,null,97,0,null,1#40
97,11,0,注意身体！,0,null,null,0,0,null,null
98,6,2,我找到一些老照片。,99,null,null,0,0,null,null
99,10,2,talk3,100,null,null,0,0,null,null
100,1,2,难以想象当年的盛况！,0,就连猫王都曾参加过！,null,101,0,null,null
101,7,0,就连猫王都曾参加过！,102,null,null,0,0,null,null
102,2,0,要是能一直这样该多好啊...,103,null,null,0,0,null,null
103,8,2,这或许得问你爷爷...,0,null,null,0,0,null,2#40
104,6,3,Nina和我说了你爷爷的事情，你先拿去用！,105,null,null,0,0,null,null
105,3,3,sendmoney,0,谢谢，我以后会还给你的,不需要，我能自己搞定,117,106,1#1000,null
106,2,0,不需要，我能自己搞定。,107,null,null,0,0,null,null
107,1,3,希望这是自信而不是狂妄。,0,能和我说说你自己吗？我对你还不够了解...,null,0,0,null,null
108,2,0,能和我说说你自己吗？我对你还不够了解...,109,null,null,0,0,null,null
109,1,3,我叫Clara！,0,说点不知道的,null,110,0,null,null
110,2,0,说点不知道的。,111,null,null,0,0,null,null
111,1,3,我是西班牙巴塞罗那大学的化学系助教，Nina的朋友。,0,追问她的身份,null,112,0,null,null
112,2,0,你这样的高材生不应该天天泡在实验室和书本里吗？,113,null,null,0,0,null,null
113,1,3,我是因为喜欢调酒所以选的化学系。,0,难以置信...,null,114,0,null,null
114,2,0,难以置信...,115,null,null,0,0,null,null
115,1,3,好了，我要继续实验了。,0,好突兀的结束方式...,null,116,0,null,null
116,11,0,好突兀的结束方式...,0,null,null,0,0,null,3#40
117,2,0,谢谢，我以后会还给你的。,118,null,null,0,0,null,null
118,1,3,不必了，就当是草蜢酒的补偿！,0,深入了解她,null,108,0,null,null
119,6,5,兄弟，你睡了吗？,120,null,null,0,0,null,null
120,1,5,我感觉有点不对！,0,发生什么事了？,null,121,0,null,null
121,2,0,发生什么事了？,122,null,null,0,0,null,null
122,1,5,今天海里一只鱼都没有！,0,这代表什么？,null,123,0,null,null
123,2,0,这代表什么？,124,null,null,0,0,null,null
124,1,5,可能附近有大型掠食者？,0,你是说鲨鱼！,null,125,0,null,null
125,2,0,你是说鲨鱼！,126,null,null,0,0,null,null
126,6,5,可能更糟糕！,127,null,null,0,0,null,null
127,1,5,我得先返航了。,0,上帝保佑你。,null,128,0,null,null
128,11,0,上帝保佑你。,0,null,null,0,0,null,5#40
129,1,1,问你个事。,0,什么,null,130,0,null,null
130,2,0,什么？,131,null,null,0,0,null,null
131,1,1,你有没有发现最近Nina怪怪的！,0,没有,null,132,0,null,null
132,2,0,没有。,133,null,null,0,0,null,null
133,1,1,你好好想想。,0,有点心不在焉,她最近到派对很晚,134,140,null,null
134,2,0,有点心不在焉...,135,null,null,0,0,null,null
135,6,1,而且在派对上迟到！,136,null,null,0,0,null,null
136,1,1,我在她身上闻到了奇怪的味道...,0,什么味道,null,137,0,null,null
137,2,0,什么味道？,138,null,null,0,0,null,null
138,1,1,某种药粉，我会继续调查的。,0,表示关心,null,139,0,null,null
139,11,0,好吧，有需要的话联系我。,0,null,null,0,0,null,1#40
140,2,0,她最近到派对的时间都很晚。,141,null,null,0,0,null,null
141,1,1,而且感觉身体被掏空！,136,null,null,0,0,null,null
142,6,5,你不敢相信我看到了什么！,143,null,null,0,0,null,null
143,10,5,talk4,153,null,null,0,0,null,null
144,2,0,这是你的船？,145,null,null,0,0,null,null
145,1,5,她被干成了碎片。,0,或许是鲨鱼,或许是人为的,146,151,null,null
146,2,0,或许是鲨鱼？,147,null,null,0,0,null,null
147,6,5,除非这个鲨鱼有钛合金假牙！,148,null,null,0,0,null,null
148,1,5,我感觉是某种巨型海洋生物，比鲨鱼更大！,0,你最近不要下海了。,null,149,0,null,null
149,2,0,你最近不要下海了。,150,null,null,0,0,null,null
150,8,5,你逼我我也不去了...,0,null,null,0,0,null,5#40
151,2,0,或许是人为的。,152,null,null,0,0,null,null
152,6,5,我没得罪任何人啊？,148,null,null,0,0,null,null
153,1,5,我可怜的宝贝...,0,这是你的船？,null,144,0,null,null
