表頭id,繁體,英語
147,真是尴尬~,[LID:147]
148,除了味儿大以外没别的毛病！,[LID:148]
149,不准进我的厨房！,[LID:149]
150,他决定继续让你永葆青春？,[LID:150]
151,天生的生意人！,[LID:151]
152,抽烟去室外！,[LID:152]
153,什么烟都不行!,[LID:153]
154,我不知道...,[LID:154]
155,呃，说点大家不知道的...,[LID:155]
156,什么鬼胆子那么大！,[LID:156]
157,你应该去兼职做驱魔师...,[LID:157]
158,有人觊觎你的美貌？,[LID:158]
159,硬核教育家！,[LID:159]
160,强尼，你怎么不留在夜之城？,[LID:160]
161,我会让你醉倒！,[LID:161]
162,为什么！,[LID:162]
163,你别把我客人吓跑了！,[LID:163]
164,你喝迷糊了？,[LID:164]
165,真是奔放的表达...,[LID:165]
166,别急，马上就好,[LID:166]
167,心急吃不了热豆腐！,[LID:167]
168,但你看上去很年轻啊？,[LID:168]
169,尊嘟假嘟？,[LID:169]
170,Damn!,[LID:170]
171,这样也太无趣了！,[LID:171]
172,但人生苦短，何不对酒当歌？,[LID:172]
173,但我们已经狂欢了好几个钟头了呀？,[LID:173]
174,就像工作的时间永远漫长！,[LID:174]
175,帝国允许你们来参加派对？,[LID:175]
176,你还真是现实主义~,[LID:176]
177,嘿！那你为什么在这?,[LID:177]
178,"我觉得你只能找到""舞林高手""！",[LID:178]
179,老先生你怎么了！,[LID:179]
180,您吓我一跳！,[LID:180]
181,二十一位！,[LID:181]
182,开个玩笑！免费，免费！,[LID:182]
183,老人家您不要说笑~,[LID:183]
184,您开心就好！,[LID:184]
185,哇！大块头，什么风把你吹来了!,[LID:185]
186,等等，难道你失败了吗？,[LID:186]
187,衣服不太合身...,[LID:187]
188,你好烧啊！,[LID:188]
189,金币,[LID:189]
190,星星,[LID:190]
191,充气锤,[LID:191]
192,香槟,[LID:192]
193,调酒壶,[LID:193]
194,道具宝箱,[LID:194]
195,坚冰,[LID:195]
196,沙块,[LID:196]
197,得分赛,[LID:197]
198,炸弹,[LID:198]
199,冰桶,[LID:199]
200,快递包裹,[LID:200]
201,大咖模式,[LID:201]
202,冰块,[LID:202]
203,在<color=#FF6300>倒数</color>结束前消除，获得<color=#FF6300>强力道具</color>！,[LID:203]
204,更坚硬的<color=#FF6300>冰块</color>。需要<color=#FF6300>额外</color>的消除！,[LID:204]
205,糟糕...该缴纳<color=#FF6300>清洁费用</color>了！,[LID:205]
206,消除开始<color=#FF6300>获得分数</color>，新的得分记录在哪里？,[LID:206]
207,Boom! 消除后<color=#FF6300>炸掉</color>周围的一切东西！,[LID:207]
208,消除它只会带来<color=#FF6300>寒冷的麻烦</color>！,[LID:208]
209,消除它，会给你带来<color=#FF6300>更多物品</color>！,[LID:209]
210,达到分数即可解锁<color=#FF6300>今日大咖</color>~,[LID:210]
211,与其他方块<color=#FF6300>一起消除</color>来<color=#FF6300>解冻</color>！,[LID:211]
212,主角,[LID:212]
213,妮娜,[LID:213]
214,建国,[LID:214]
215,鸡哥,[LID:215]
216,小霉,[LID:216]
217,小李子,[LID:217]
218,乔帮主,[LID:218]
219,龙哥,[LID:219]
220,钢丝客,[LID:220]
221,曼巴哥,[LID:221]
222,流行之王,[LID:222]
223,扑克脸女王,[LID:223]
224,Taco哥,[LID:224]
225,纯真哥,[LID:225]
226,兵王,[LID:226]
227,石头哥,[LID:227]
228,劳拉,[LID:228]
229,强尼金手,[LID:229]
230,纽碧导演,[LID:230]
231,打野歌后,[LID:231]
232,碧局长,[LID:232]
233,狗爷,[LID:233]
234,Clara,[LID:234]
235,Zaza,[LID:235]
236,Ah Hu,[LID:236]
237,路人1,[LID:237]
238,路人2,[LID:238]
239,路人3,[LID:239]
240,路人4,[LID:240]
241,路人5,[LID:241]
242,路人6,[LID:242]
243,路人7,[LID:243]
244,路人8,[LID:244]
245,路人9,[LID:245]
246,路人10,[LID:246]
247,路人11,[LID:247]
248,路人12,[LID:248]
249,路人13,[LID:249]
250,阿宅,[LID:250]
251,路人15,[LID:251]
252,路人16,[LID:252]
253,李小尤,[LID:253]
254,爱因斯坦,[LID:254]
255,风暴兵,[LID:255]
256,包租婆,[LID:256]
257,苏老强,[LID:257]
258,华弓虽,[LID:258]
259,娟儿,[LID:259]
260,州长,[LID:260]
261,刺激姐,[LID:261]
262,路人17,[LID:262]
263,路人18,[LID:263]
264,路人19,[LID:264]
265,路人20,[LID:265]
266,路人21,[LID:266]
267,路人22,[LID:267]
268,路人23,[LID:268]
269,路人24,[LID:269]
270,路人25,[LID:270]
271,路人26,[LID:271]
272,M!A!G!A!,[LID:272]
273,唱跳RAP样样行!,[LID:273]
274,灵感永不枯竭!,[LID:274]
275,我的奥斯卡呢?,[LID:275]
276,一天一个苹果,[LID:276]
277,Duang!,[LID:277]
278,立志要当火星人,[LID:278]
279,曼巴奥特!,[LID:279]
280,地球当前版本唯一真神,[LID:280]
281,每天造型不重样,[LID:281]
282,G!O!A!T!,[LID:282]
283,芝士雪豹~,[LID:283]
284,坦克是没有后视镜的~,[LID:284]
285,一拳打死一头牛,[LID:285]
286,皮特你人呢?,[LID:286]
287,没人比我更懂子弹时间,[LID:287]
288,暴力美学缔造者!,[LID:288]
289,如何呢?又能怎?,[LID:289]
290,没人敢说我坏话!,[LID:290]
291,我玩儿的就是西海岸,[LID:291]
292,啊~打打打打!,[LID:292]
293,派对时间也是相对的,[LID:293]
294,今天不用吃原力,[LID:294]
295,该交水费啦!,[LID:295]
296,我要喝手磨咖啡!,[LID:296]
297,这瓜保熟吗?,[LID:297]
298,好烦，到了富婆的年纪~,[LID:298]
299,我会回来的!,[LID:299]
300,我知道你想说什么,[LID:300]
301,你要耽误人家约会啦！,[LID:301]
302,哪个单位的这么慢！,[LID:302]
303,别划水啊！,[LID:303]
304,睡着了？,[LID:304]
305,等到裂开...,[LID:305]
306,在吗？,[LID:306]
307,人呢？,[LID:307]
308,CPU干烧了？,[LID:308]
309,好慢...,[LID:309]
310,等到花都谢了...,[LID:310]
311,泰裤辣！,[LID:311]
312,遥遥领先！,[LID:312]
313,你是我的神！,[LID:313]
314,有两下子！,[LID:314]
315,芜湖~,[LID:315]
316,这不比博人传燃？,[LID:316]
317,收到啦~,[LID:317]
318,牛的！,[LID:318]
319,舒服了~,[LID:319]
320,第{0}天,[LID:320]
321,设置,[LID:321]
322,分享,[LID:322]
323,大咖挑战,[LID:323]
324,开始派对,[LID:324]
325,今日剩余：{0}/{1},[LID:325]
326,通关条件,[LID:326]
327,拖拽方块至棋盘,[LID:327]
328,暂停,[LID:328]
329,已收集,[LID:329]
330,资源不足,[LID:330]
331,钱不够，是否观看广告获得道具？,[LID:331]
332,确定,[LID:332]
333,取消,[LID:333]
334,达成通关目标！,[LID:334]
335,炸翻全场!,[LID:335]
336,派对新面孔：+{0},[LID:336]
337,大咖解锁：{0},[LID:337]
338,返回,[LID:338]
339,下一天,[LID:339]
340,音效,[LID:340]
341,震动,[LID:341]
342,开,[LID:342]
343,关,[LID:343]
344,返回主页,[LID:344]
345,是否放弃本局游戏，立刻结算得分？,[LID:345]
346,大咖登场,[LID:346]
347,本局得分,[LID:347]
348,重新开始,[LID:348]
349,解锁,[LID:349]
350,是否消耗体力重新开始？,[LID:350]
351,钱不够花bro！,[LID:351]
352,是否消耗{0}碎片进行解锁？,[LID:352]
353,还差一点就能解锁新人物了！,[LID:353]
354,是否消耗{0}块钱购买道具？,[LID:354]
355,是否退出该局游戏，游戏进度将不保存！！,[LID:355]
356,历史最高,[LID:356]
357,目标分数,[LID:357]
358,当前分数,[LID:358]
359,不服再战,[LID:359]
360,遗憾放弃,[LID:360]
361,再邀请{}个派对宾客解锁！,[LID:361]
362,添加桌面,[LID:362]
363,立刻前往,[LID:363]
364,搞砸了...,[LID:364]
365,溜了...,[LID:365]
366,确认,[LID:366]
367,已击败{}%的玩家,[LID:367]
368,载入中,[LID:368]
369,本关剩余：{0}/{1},[LID:369]
370,观看时间不足，无法获取奖励。,[LID:370]
371,派对经营不易！广告过后派发<color=#fef15b>大量奖励!</color>,[LID:371]
372,发财啦！,[LID:372]
373,点击屏幕继续,[LID:373]
374,神秘大咖{0}时{1}分后造访！,[LID:374]
375,切歌太快啦！休息下吧~,[LID:375]
376,选择想要清除的<color=#fef15b>2列</color>方块吧！,[LID:376]
377,点击一个<color=#fef15b>方块</color>，敲碎它和<color=#fef15b>相邻的方块</color>！,[LID:377]
378,每日观看广告，领取海量钞票,[LID:378]
379,{0}时{1}分后恢复体力,[LID:379]
380,别急，新的赞助商正在路上！,[LID:380]
381,今天没有赞助商啦，明天来吧！,[LID:381]
382,今日剩余:{0}次,[LID:382]
382,失败将损失关卡进度!,[LID:383]
