订单id,所属关卡,npc库,订单需求库
393,50,23,13
394,50,23,13
395,51,23,13
396,51,23,13
397,51,23,13
398,51,23,13
399,51,23,13
400,51,23,13
401,51,23,13
402,51,23,13
403,52,23,13
404,52,23,13
405,52,23,13
406,52,23,13
407,52,23,13
408,52,23,13
409,52,23,13
410,52,23,13
411,53,23,13
412,53,23,13
413,53,23,13
414,53,23,13
415,53,23,13
416,53,23,13
417,53,23,13
418,53,23,13
419,54,23,13
420,54,23,13
421,54,23,13
422,54,23,13
423,54,23,13
424,54,23,13
425,54,23,13
426,54,23,13
427,55,24,13
428,55,25,13
429,55,25,13
430,55,25,13
431,55,25,13
432,55,25,13
433,55,25,13
434,55,25,13
435,56,25,13
436,56,25,13
437,56,25,13
438,56,25,13
439,56,25,13
440,56,25,13
441,56,25,13
442,56,25,13
443,57,25,13
444,57,25,13
445,57,25,13
446,57,25,13
447,57,25,13
448,57,25,13
449,57,25,13
450,57,25,13
451,58,25,13
452,58,25,13
453,58,25,13
454,58,25,10014
455,58,25,14
456,58,25,14
457,58,25,14
458,58,25,14
459,59,25,14
460,59,25,14
461,59,25,14
462,59,25,14
463,59,25,14
464,59,25,14
465,59,25,14
466,59,25,14
467,60,26,14
468,60,27,14
469,60,27,14
470,60,27,14
471,60,27,14
472,60,27,14
473,60,27,14
474,60,27,14
475,61,27,14
476,61,27,14
477,61,27,14
478,61,27,14
479,61,27,14
480,61,27,14
481,61,27,14
482,61,27,14
483,62,27,14
484,62,27,14
485,62,27,14
486,62,27,14
487,62,27,14
488,62,27,14
489,62,27,14
490,62,27,14
491,63,27,14
492,63,27,14
493,63,27,14
494,63,27,14
495,63,27,14
496,63,27,14
497,63,27,14
498,63,27,14
499,64,27,14
500,64,27,14
501,64,27,14
502,64,27,14
503,64,27,14
504,64,27,14
505,64,27,14
506,64,27,14
507,65,28,14
508,65,29,14
509,65,29,14
510,65,29,14
511,65,29,14
512,65,29,14
513,65,29,14
514,65,29,14
515,66,29,14
516,66,29,14
517,66,29,14
518,66,29,10015
519,66,29,15
520,66,29,15
521,66,29,15
522,66,29,15
523,67,29,15
524,67,29,15
525,67,29,15
526,67,29,15
527,67,29,15
528,67,29,15
529,67,29,15
530,67,29,15
531,68,29,15
532,68,29,15
533,68,29,15
534,68,29,15
535,68,29,15
536,68,29,15
537,68,29,15
538,68,29,15
539,69,29,15
540,69,29,15
541,69,29,15
542,69,29,15
543,69,29,15
544,69,29,15
545,69,29,15
546,69,29,15
547,70,30,15
548,70,31,15
549,70,31,15
550,70,31,15
551,70,31,15
552,70,31,15
553,70,31,15
554,70,31,15
555,71,31,15
556,71,31,15
557,71,31,15
558,71,31,15
559,71,31,15
560,71,31,15
561,71,31,15
562,71,31,15
563,72,31,15
564,72,31,15
565,72,31,15
566,72,31,15
567,72,31,15
568,72,31,15
569,72,31,15
570,72,31,15
571,73,31,15
572,73,31,15
573,73,31,15
574,73,31,15
575,73,31,15
576,73,31,15
577,73,31,15
578,73,31,15
579,74,31,15
580,74,31,15
581,74,31,15
582,74,31,10016
583,74,31,16
584,74,31,16
585,74,31,16
586,74,31,16
587,75,32,16
588,75,33,16
589,75,33,16
590,75,33,16
591,75,33,16
592,75,33,16
593,75,33,16
594,75,33,16
595,76,33,16
596,76,33,16
597,76,33,16
598,76,33,16
599,76,33,16
600,76,33,16
601,76,33,16
602,76,33,16
603,77,33,16
604,77,33,16
605,77,33,16
606,77,33,16
607,77,33,16
608,77,33,16
609,77,33,16
610,77,33,16
611,78,33,16
612,78,33,16
613,78,33,16
614,78,33,16
615,78,33,16
616,78,33,16
617,78,33,16
618,78,33,16
619,79,33,16
620,79,33,16
621,79,33,16
622,79,33,16
623,79,33,16
624,79,33,16
625,79,33,16
626,79,33,16
627,80,34,16
628,80,35,16
629,80,35,16
630,80,35,16
631,80,35,16
632,80,35,16
633,80,35,16
634,80,35,16
635,81,35,16
636,81,35,16
637,81,35,16
638,81,35,16
639,81,35,16
640,81,35,16
641,81,35,16
642,81,35,16
643,82,35,16
644,82,35,16
645,82,35,16
646,82,35,10017
647,82,35,17
648,82,35,17
649,82,35,17
650,82,35,17
651,83,35,17
652,83,35,17
653,83,35,17
654,83,35,17
655,83,35,17
656,83,35,17
657,83,35,17
658,83,35,17
659,84,35,17
660,84,35,17
661,84,35,17
662,84,35,17
663,84,35,17
664,84,35,17
665,84,35,17
666,84,35,17
667,85,36,17
668,85,37,17
669,85,37,17
670,85,37,17
671,85,37,17
672,85,37,17
673,85,37,17
674,85,37,17
675,86,37,17
676,86,37,17
677,86,37,17
678,86,37,17
679,86,37,17
680,86,37,17
681,86,37,17
682,86,37,17
683,87,37,17
684,87,37,17
685,87,37,17
686,87,37,17
687,87,37,17
688,87,37,17
689,87,37,17
690,87,37,17
691,88,37,17
692,88,37,17
693,88,37,17
694,88,37,17
695,88,37,17
696,88,37,17
697,88,37,17
698,88,37,17
699,89,37,17
700,89,37,17
701,89,37,17
702,89,37,17
703,89,37,17
704,89,37,17
705,89,37,17
706,89,37,17
707,90,38,17
708,90,39,17
709,90,39,17
710,90,39,10018
711,90,39,18
712,90,39,18
713,90,39,18
714,90,39,18
715,91,39,18
716,91,39,18
717,91,39,18
718,91,39,18
719,91,39,18
720,91,39,18
721,91,39,18
722,91,39,18
723,92,39,18
724,92,39,18
725,92,39,18
726,92,39,18
727,92,39,18
728,92,39,18
729,92,39,18
730,92,39,18
731,93,39,18
732,93,39,18
733,93,39,18
734,93,39,18
735,93,39,18
736,93,39,18
737,93,39,18
738,93,39,18
739,94,39,18
740,94,39,18
741,94,39,18
742,94,39,18
743,94,39,18
744,94,39,18
745,94,39,18
746,94,39,18
747,95,40,18
748,95,41,18
749,95,41,18
750,95,41,18
751,95,41,18
752,95,41,18
753,95,41,18
754,95,41,18
755,96,41,18
756,96,41,18
757,96,41,18
758,96,41,18
759,96,41,18
760,96,41,18
761,96,41,18
762,96,41,18
763,97,41,18
764,97,41,18
765,97,41,18
766,97,41,18
767,97,41,18
768,97,41,18
769,97,41,18
770,97,41,18
771,98,41,18
772,98,41,18
773,98,41,18
774,98,41,10019
775,98,41,19
776,98,41,19
777,98,41,19
778,98,41,19
779,99,41,19
780,99,41,19
781,99,41,19
782,99,41,19
783,99,41,19
784,99,41,19
785,99,41,19
786,99,41,19
787,100,42,19
788,100,43,19
789,100,43,19
790,100,43,19
791,100,43,19
792,100,43,19
793,100,43,19
794,100,43,19
795,1,3,1
