关卡,模式（1订单2得分）,目标,初始方块与颜色,本关订单开始数与色彩解锁,色彩,初始物品库（色彩库）,难度池（elo专用）,物品生成概率（百分）,过于简单时难度与权重,普通难度时难度与权重,过于困难时难度与权重,elo检测阈值（已有块）,elo基础概率（百分）,复活elo增值,通关奖励,是否开启付费订单位,是否开启广告订单位,关卡预设,金币位消耗,boss关标记,机制弹窗
9,1,5,5#4;14#3;14#4,null,3;4,9;10;11,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-9,300,0,0
10,1,5,32#5;32#5;4#3,4#12,3;4;5,9;10;11,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-10,500,1,3
11,1,5,30#5;30#4;26#4,null,4;5,10;11;12,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,30,60,40,2#1,1,1,1-11,500,0,0
12,1,5,21#5;20#2;32#4,null,2;3;4;5,10;11;12,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-12,500,0,0
13,1,5,18#1;32#2;32#5,null,1;2;5,10;11;12,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-13,500,0,0
14,1,5,4#1;5#4;32#5,4#13,1;2;3;4;5,10;11;12,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-14,500,0,0
15,1,5,18#6;25#1;39#4,null,4;5,11;12;13,3,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-15,800,1,0
16,1,5,21#2;39#2;5#5,null,2;5,11;12;13,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,30,60,40,2#1,1,1,1-16,800,0,2
17,1,5,24#1;25#1;32#4,null,1;3;4,11;12;13,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-17,800,0,0
18,1,5,5#6;5#1;21#4,4#14,1;2;4;5,11;12;13,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-18,800,0,0
19,1,5,13#3;25#1;39#4,null,1;3;4,12;13;14,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-19,800,0,0
20,2,500,32#5;28#5;29#4,null,4;5,12;13;14,4,35,2#15;3#15;4#25;5#25;6#5;7#10;9#5,2#15;3#25;8#10;4#35;5#15;6#5;7#5,1#15;2#25;3#20;8#5;4#25;5#10,30,60,40,2#1,1,1,1-20,1000,1,4
21,1,5,32#3;18#1;19#3,null,1;2;3,12;13;14,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-21,1000,0,0
22,1,5,27#2;34#1;32#4,null,1;2;4,12;13;14,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-22,1000,0,0
23,1,5,16#2;32#1;17#3,null,1;3,12;13;14,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-23,1000,0,0
24,1,5,8#5;36#5;4#4,null,4;5,12;13;14,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-24,1000,0,0
25,1,5,5#2;5#5;6#5,null,2;5,12;13;14,4,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-25,1200,1,0
26,1,5,25#5;27#1;30#4,4#15,1;4;5,12;13;14,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,30,60,40,2#1,1,1,1-26,1200,0,0
27,1,5,39#2;27#2;16#2,null,2;5,13;14;15,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-27,1200,0,0
28,1,5,32#3;22#1;18#4,null,1;2;3;4;5,13;14;15,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-28,1200,0,0
29,1,5,40#4;32#5;16#4,null,4;5,13;14;15,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-29,1200,0,0
30,2,800,10#4;9#5;11#4,null,1;5,13;14;15,4,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-30,1500,1,0
31,1,5,38#1;8#3;10#3,null,1;3,13;14;15,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,20,60,40,2#1,1,1,1-31,1500,0,5
32,1,5,14#3;15#4;7#4,null,3;4,13;14;15,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-32,1500,0,0
33,1,5,24#4;33#1;25#4,null,1;4;5,13;14;15,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-34,1500,0,0
34,1,5,34#4;35#5;34#4,4#16,4;5,13;14;15,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-33,1500,0,0
35,1,5,4#4;5#5;9#3,null,2;3;4;5,14;15;16,4,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-35,1800,1,0
36,1,5,24#1;25#2;27#1,null,1;2,14;15;16,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,20,60,40,2#1,1,1,1-36,1800,0,0
37,1,5,24#3;39#1;6#3,null,1;3,14;15;16,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-37,1800,0,0
38,1,5,3#2;32#3;3#3,null,2;3,14;15;16,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-38,1800,0,0
39,1,5,9#4;10#5;11#4,null,1;4;5,14;15;16,4,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-39,1800,0,0
40,2,1000,13#4;5#5;7#4,null,1;2,14;15;16,5,35,2#15;3#15;4#25;5#25;6#5;7#10;9#5,2#15;3#25;8#10;4#35;5#15;6#5;7#5,1#15;2#25;3#20;8#5;4#25;5#10,30,60,40,2#1,1,1,1-40,2000,1,0
41,1,5,31#1;31#5;31#4,null,1;3;4;5,14;15;16,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,20,60,40,2#1,1,1,1-41,2000,0,0
42,1,5,16#1;32#1;17#3,4#17,1;3,14;15;16,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-42,2000,0,0
43,1,5,10#4;32#5;11#4,null,4;5,15;16;17,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-43,2000,0,0
44,1,5,35#1;37#3;39#4,null,1;2;3;4;5,15;16;17,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-44,2000,0,0
45,2,1500,2#1;24#2;25#3,null,1;2;3,15;16;17,4,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-50,2200,1,0
46,1,5,5#4;15#5;24#4,null,4;5,15;16;17,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,20,60,40,2#1,1,1,1-46,2200,0,0
47,1,5,14#4;11#4;5#4,null,4,15;16;17,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-47,2200,0,0
48,1,5,26#4;5#5;27#4,null,1;5,15;16;17,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-48,2200,0,0
49,1,5,24#4;25#5;39#4,null,4;5,15;16;17,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-49,2200,0,0
50,1,5,31#1;32#1;4#1,4#18,1,15;16;17,4,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-45,2500,1,0
51,1,5,10#1;10#4;31#3,null,1;3;4,16;17;18,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,20,60,40,2#1,1,1,1-51,2500,0,6
52,1,5,6#4;16#2;17#3,null,2;3;4,16;17;18,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-52,2500,0,0
53,1,5,30#1;31#2;27#3,null,4;5,16;17;18,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-53,2500,0,0
54,1,5,14#4;15#2;32#3,null,2;3;4,16;17;18,4,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-54,2500,0,0
55,1,5,32#1;18#2;32#3,null,5,16;17;18,5,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-55,2800,1,0
56,1,5,32#1;26#2;26#3,null,1;4,16;17;18,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,20,60,40,2#1,1,1,1-56,2800,0,0
57,1,5,16#3;18#4;27#3,null,3;4,16;17;18,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-57,2800,0,0
58,1,5,3#1;11#2;11#1,4#19,1;2;4,16;17;18,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-58,2800,0,0
59,1,5,32#3;31#1;16#3,null,3;1,17;18;19,4,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-59,2800,0,0
60,2,2000,34#3;37#2;24#3,null,2;3,17;18;19,5,35,2#15;3#15;4#25;5#25;6#5;7#10;9#5,2#15;3#25;8#10;4#35;5#15;6#5;7#5,1#15;2#25;3#20;8#5;4#25;5#10,30,45,40,2#1,1,1,1-60,3000,1,0
61,1,5,29#2;28#2;3#5,null,2;4;5,17;18;19,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,20,45,40,2#1,1,1,1-61,3000,0,7
62,1,5,5#1;32#2;17#3,null,1;2;3;4,17;18;19,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-62,3000,0,0
63,1,5,12#1;29#2;3#5,null,3;4;5,17;18;19,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-63,3000,0,0
64,1,5,10#4;9#5;11#3,null,1;3;4;5,17;18;19,4,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-64,3000,0,0
65,1,5,10#1;9#2;9#3,null,4;5,17;18;19,5,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-65,3200,1,0
66,1,5,32#1;28#2;8#3,4#20,1;2;3;4;5,17;18;19,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,20,45,40,2#1,1,1,1-66,3200,0,0
67,1,5,25#3;27#2;32#3,null,2;3,18;19;20,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-67,3200,0,0
68,1,5,10#1;11#4;31#1,null,1;4,18;19;20,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-68,3200,0,0
69,1,5,14#1;14#2;15#3,null,4;5,18;19;20,4,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-69,3200,0,0
70,2,3000,31#1;31#4;31#1,null,1;2;3,18;19;20,5,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-70,3500,1,0
71,1,5,26#1;27#2;17#3,null,1;3;4;5,18;19;20,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,20,45,40,2#1,1,1,1-71,3500,0,0
72,1,5,18#1;32#2;28#3,null,2;3;4,18;19;20,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-72,3500,0,0
73,1,5,16#4;32#5;25#5,null,4;5,18;19;20,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-73,3500,0,0
74,1,5,30#3;8#2;32#3,4#21,2;3,18;19;20,4,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-74,3500,0,0
75,1,5,10#1;39#2;39#3,null,1;2;3;4,19;20;21,5,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-75,3800,1,0
76,1,5,20#4;21#4;3#5,null,4;5,19;20;21,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,20,45,40,2#1,1,1,1-76,3800,0,0
77,1,5,10#1;11#2;10#2,null,1;2,19;20;21,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-77,3800,0,0
78,1,5,10#1;15#2;32#3,null,3;4;5,19;20;21,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-78,3800,0,0
79,1,5,15#1;11#2;3#3,null,1;4;5,19;20;21,4,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,45,40,2#1,1,1,1-79,3800,0,0
80,2,4000,32#1;32#2;32#3,null,1;3;4,19;20;21,5,35,2#15;3#15;4#25;5#25;6#5;7#10;9#5,2#15;3#25;8#10;4#35;5#15;6#5;7#5,1#15;2#25;3#20;8#5;4#25;5#10,30,45,40,2#1,1,1,1-80,4000,1,0
81,1,5,4#4;29#5;5#3,null,3;4;5,19;20;21,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,20,35,40,2#1,1,1,1-81,4000,0,0
82,1,5,10#3;3#5;5#3,4#22,1;2;3;5,19;20;21,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-82,4000,0,0
83,1,5,22#1;32#2;5#3,null,1;2;3;4;5,20;21;22,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-83,4000,0,0
84,1,5,32#1;32#2;32#3,null,3;4,20;21;22,4,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-84,4000,0,0
85,1,5,32#4;32#4;7#3,null,1;2;4;5,20;21;22,5,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-85,4200,1,0
86,1,5,30#1;7#2;30#3,null,1;3;4,20;21;22,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,20,35,40,2#1,1,1,1-86,4200,0,0
87,1,5,12#1;27#2;27#3,null,1;5,20;21;22,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-87,4200,0,0
88,1,5,13#1;15#2;31#3,null,1;2;4,20;21;22,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-88,4200,0,0
89,1,5,31#1;11#1;11#3,null,1;3,20;21;22,4,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-89,4200,0,0
90,2,5000,20#1;22#2;32#3,4#23,4;5,20;21;22,5,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-90,4500,1,0
91,1,5,25#1;11#4;20#3,null,1;3;4,21;22;23,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,20,35,40,2#1,1,1,1-91,4500,0,0
92,1,5,30#2;32#2;5#3,null,2;3,21;22;23,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-92,4500,0,0
93,1,5,29#1;32#1;4#4,null,1;4,21;22;23,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-93,4500,0,0
94,1,5,19#1;32#4;16#3,null,1;3;4;5,21;22;23,4,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-94,4500,0,0
95,1,5,32#1;32#2;32#3,null,1;2;3;4;5,21;22;23,5,35,2#20;3#30;4#20;5#20;6#5;9#5,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-95,4800,1,0
96,1,5,30#2;10#2;32#3,null,2;3,21;22;23,2,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#40;2#20;3#35;4#5,20,35,40,2#1,1,1,1-96,4800,0,0
97,1,5,32#4;10#2;22#2,null,2;4,21;22;23,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-97,4800,0,0
98,1,5,12#1;32#2;22#3,4#24,3;5,21;22;23,3,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-98,4800,0,0
99,1,5,17#1;32#2;19#3,null,1;2;3;4,22;23;24,4,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,35,40,2#1,1,1,1-99,4800,0,0
100,2,10000,25#1;2#2;3#3,null,1;2;3,22;23;24,5,35,2#15;3#15;4#25;5#25;6#5;7#10;9#5,2#15;3#25;8#10;4#35;5#15;6#5;7#5,1#15;2#25;3#20;8#5;4#25;5#10,30,35,40,2#1,1,1,1-100,5000,1,0
