id,npc头像,npc立绘,npc通讯录,npc半身,npc名称,是否为特殊npc,完成音效,提醒音效,出场台词
31,null,npc_kala_6,null,null,路人6,0,order_done_npc_kala_6.ogg,notice_order_default.ogg,null
32,null,npc_kala_7,null,null,路人7,0,order_done_npc_kala_7.ogg,notice_order_default.ogg,null
33,null,npc_kala_8,null,null,路人8,0,order_done_npc_kala_8.ogg,notice_order_default.ogg,null
34,null,npc_kala_9,null,null,路人9,0,order_done_npc_kala_9.ogg,notice_order_default.ogg,null
35,null,npc_kala_10,null,null,路人10,0,order_done_npc_kala_10.ogg,notice_order_default.ogg,null
36,null,npc_kala_11,null,null,路人11,0,order_done_npc_kala_11.ogg,notice_order_default.ogg,null
37,null,npc_kala_12,null,null,路人12,0,order_done_npc_kala_12.ogg,notice_order_default.ogg,null
38,null,npc_kala_13,null,null,路人13,0,order_done_npc_kala_13.ogg,notice_order_default.ogg,null
39,null,npc_kala_14,null,null,阿宅,0,order_done_npc_kala_14.ogg,notice_order_default.ogg,null
40,null,npc_kala_15,null,null,路人15,0,order_done_npc_kala_15.ogg,notice_order_default.ogg,null
41,null,npc_kala_16,null,null,路人16,0,order_done_npc_kala_16.ogg,notice_order_default.ogg,null
42,null,npc_sp_lixiaolong,null,null,李小尤,1,order_done_npc_sp_lixiaolong.ogg,notice_order_default.ogg,啊~打打打打!
43,null,npc_sp_aiyinsitan,null,null,爱因斯坦,1,order_done_npc_sp_aiyinsitan.ogg,notice_order_default.ogg,派对时间也是相对的
44,null,npc_sp_baofengbing,null,null,风暴兵,1,order_done_npc_sp_baofengbing.ogg,notice_order_default.ogg,今天不用吃原力
45,UI_zdn_wj_baozupo,npc_sp_baozupo,null,UI_zjm_icon_daka5,包租婆,1,order_done_npc_sp_baozupo.ogg,notice_order_default.ogg,该交水费啦!
46,UI_zdn_wj_nidahong,npc_sp_nidahong,null,UI_zjm_icon_daka7,苏老强,1,order_done_npc_sp_nidahong.ogg,notice_order_default.ogg,我要喝手磨咖啡!
47,UI_zdn_wj_sunhonglei,npc_sp_sunhonglei,null,UI_zjm_icon_daka8,华弓虽,1,order_done_npc_sp_sunhonglei.ogg,notice_order_default.ogg,这瓜保熟吗?
48,UI_zdn_wj_juan,npc_sp_juan,null,UI_zjm_icon_daka6,娟儿,1,order_done_npc_sp_juan.ogg,notice_order_default.ogg,好烦，到了富婆的年纪~
49,null,npc_sp_zhongjiezhe,null,null,州长,1,order_done_npc_sp_zhongjiezhe.ogg,notice_order_default.ogg,我会回来的!
50,UI_zdn_wj_saonv,npc_sp_saonv,null,UI_zjm_icon_daka9,刺激姐,1,order_done_npc_sp_saonv.ogg,notice_order_default.ogg,我知道你想说什么
51,null,npc_kala_17,null,null,路人15,0,order_done_npc_kala_17.ogg,notice_order_default.ogg,null
52,null,npc_kala_18,null,null,路人16,0,order_done_npc_kala_18.ogg,notice_order_default.ogg,null
53,null,npc_kala_19,null,null,路人17,0,order_done_npc_kala_19.ogg,notice_order_default.ogg,null
54,null,npc_kala_20,null,null,路人18,0,order_done_npc_kala_20.ogg,notice_order_default.ogg,null
55,null,npc_kala_21,null,null,路人19,0,order_done_npc_kala_21.ogg,notice_order_default.ogg,null
56,null,npc_kala_22,null,null,路人20,0,order_done_npc_kala_22.ogg,notice_order_default.ogg,null
57,null,npc_kala_23,null,null,路人21,0,order_done_npc_kala_23.ogg,notice_order_default.ogg,null
58,null,npc_kala_24,null,null,路人22,0,order_done_npc_kala_24.ogg,notice_order_default.ogg,null
59,null,npc_kala_25,null,null,路人23,0,order_done_npc_kala_25.ogg,notice_order_default.ogg,null
60,null,npc_kala_26,null,null,路人24,0,order_done_npc_kala_26.ogg,notice_order_default.ogg,null
